station,valid,metar
BOS,8/27/2020 20:54,KBOS 272054Z 04006KT 10SM FEW013 SCT060 OVC110 16/13 A2969 RMK AO2 SLP052 60014 T01610133 50002 $
BOS,8/27/2020 21:54,KBOS 272154Z 00000KT 10SM FEW013 BKN055 BKN110 BKN230 16/13 A2967 RMK AO2 SLP048 T01610133 $
BOS,8/27/2020 22:54,KBOS 272254Z 03006KT 10SM FEW015 BKN065 BKN110 BKN230 17/14 A2969 RMK AO2 RAB02E23 SLP054 P0000 T01670139 $
BOS,8/27/2020 23:54,KBOS 272354Z 30004KT 10SM FEW011 BKN070 BKN130 BKN250 17/14 A2970 RMK AO2 SLP056 60014 T01720144 10172 20156 53004 $
BOS,8/28/2020 1:06,KBOS 280106Z 33006KT 10SM SCT009 BKN075 BKN250 17/14 A2970 RMK AO2 T01670144 $
BOS,8/28/2020 1:54,KBOS 280154Z 28004KT 10SM FEW009 SCT075 OVC250 17/14 A2970 RMK AO2 SLP057 T01670144 $
BOS,8/28/2020 2:54,KBOS 280254Z 26004KT 10SM FEW009 FEW140 OVC250 17/14 A2971 RMK AO2 SLP060 T01670144 53002 $
BOS,8/28/2020 3:54,KBOS 280354Z 22007KT 10SM FEW008 FEW100 BKN250 16/14 A2972 RMK AO2 SLP063 T01610144 $
BOS,8/28/2020 4:54,KBOS 280454Z 28007KT 10SM FEW005 17/15 A2972 RMK AO2 SLP064 T01670150 401890156 $
BOS,8/28/2020 5:54,KBOS 280554Z 30007KT 3SM BR BKN003 16/15 A2972 RMK AO2 SLP062 T01610150 10172 20161 50002 $
BOS,8/28/2020 6:54,KBOS 280654Z 30006KT 8SM SCT003 BKN047 17/16 A2971 RMK AO2 SLP060 T01670156 $
BOS,8/28/2020 7:54,KBOS 280754Z 30005KT 10SM SCT003 OVC041 17/16 A2973 RMK AO2 SLP065 T01670156 $
BOS,8/28/2020 8:54,KBOS 280854Z 29005KT 10SM FEW003 BKN032 OVC041 17/16 A2974 RMK AO2 SLP069 T01720156 53006 $
BOS,8/28/2020 9:54,KBOS 280954Z 28004KT 10SM FEW006 BKN032 BKN039 18/16 A2976 RMK AO2 SLP076 T01780156 $
BOS,8/28/2020 10:54,KBOS 281054Z 30004KT 10SM FEW025 BKN032 18/16 A2977 RMK AO2 SLP081 T01780156 $
BOS,8/28/2020 11:54,KBOS 281154Z 34007KT 10SM FEW025 BKN034 BKN045 18/14 A2979 RMK AO2 SLP086 70018 T01780144 10178 20161 51017
BOS,8/28/2020 12:04,KBOS 281204Z 33006KT 10SM BKN029 OVC037 18/14 A2979 RMK AO2 T01830144
BOS,8/28/2020 12:52,KBOS 281252Z 33004KT 10SM FEW025 BKN031 BKN043 19/13 A2979 RMK AO2
BOS,8/28/2020 12:54,KBOS 281254Z 32005KT 10SM FEW025 BKN031 BKN043 19/14 A2979 RMK AO2 SLP089 T01940139
BOS,8/28/2020 13:54,KBOS 281354Z 30004KT 10SM FEW025 SCT043 SCT250 21/13 A2980 RMK AO2 SLP090 T02110128
BOS,8/28/2020 14:54,KBOS 281454Z 30006KT 10SM FEW030 SCT045 SCT250 23/11 A2980 RMK AO2 SLP092 T02280111 53004
BOS,8/28/2020 15:54,KBOS 281554Z 29006KT 10SM FEW030 BKN040 BKN250 23/14 A2979 RMK AO2 SLP088 T02330139
